group_key,product_id,title,brand,ram,ssd,cpu,mall,first_price,latest_price,min_price,max_price,avg_price,change_rate,period_change_rate,observed_count,seller_count,mall_count,is_latest_min,buy_timing_score,first_date,latest_date,timing_signal,link
삼성전자|NT761XDARTX305|i5|16GB|512GB,89522905308,삼성 NT761XDA RTX3050Ti i5 램16GB SSD512G Win11 게이밍,삼성전자,16GB,512GB,i5,세컨핸드스토어,999000,999000,999000,999000,999000,0.0,0.0,28,1,1,N,12,2026-06-18,2026-06-25,가격 관찰,https://smartstore.naver.com/main/products/11978394620
삼성전자|삼성플러스2I311세대1115G416GSSD512G윈111|i3|16GB|512GB,89732394109,삼성 노트북 플러스2 i3 11세대-1115G4 16G SSD512G 윈11 15.6인치,삼성전자,16GB,512GB,i3,일체형pc  중고노트북,629000,629000,629000,629000,629000,0.0,0.0,26,1,1,N,12,2026-06-18,2026-06-20,가격 관찰,https://smartstore.naver.com/main/products/12187883404
삼성전자|삼성전자플러스2윈11I311세대16GSSD1TB삼성|i3|16GB|1TB,89732447000,삼성전자 노트북 플러스2 윈11 i3 11세대 16G SSD1TB 삼성노트북,삼성전자,16GB,1TB,i3,일체형pc  중고노트북,769000,769000,769000,769000,769000,0.0,0.0,26,1,1,N,12,2026-06-18,2026-06-20,가격 관찰,https://smartstore.naver.com/main/products/12187936295
LG전자|15ZB95N|i5|16GB|512GB,91165398577,LG 가벼운 노트북 Gram 15 인텔 i5 16G SSD512G 15ZB95N,LG전자,16GB,512GB,i5,일체형pc  중고노트북,1109000,1109000,1109000,1109000,1109000,0.0,0.0,25,1,1,N,12,2026-06-19,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13620888160
레노버|50URAM32GB|Ryzen 5|32GB|1TB,60089693308,레노버 [리퍼] ThinkPad X13 Gen1[라이젠5 Pro 4650U RAM 32GB 신품SSD 1TB 윈11] 507901,레노버,32GB,1TB,Ryzen 5,11번가,1034400,1046200,1034400,1046200,1042445,0.36,1.14,22,1,1,N,12,2026-06-18,2026-06-19,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9139932534&tid=1000000061
레노버|50URAM32GB|Ryzen 5|32GB|512GB,60089563600,레노버 [리퍼] ThinkPad X13 Gen1[라이젠5 Pro 4650U RAM 32GB 신품SSD512GB 윈11] 507894,레노버,32GB,512GB,Ryzen 5,11번가,872200,882200,872200,882200,878700,0.4,1.15,20,1,1,N,12,2026-06-18,2026-06-19,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9139918881&tid=1000000061
레노버|10U16GNVME512GU|i7|16GB|512GB,60088007291,레노버 LENOVO 리퍼노트북 ThinkPad T14s 인텔10세대 i7-10510U 16G NVMe512G UHD 윈도우11 14인치 507987,레노버,16GB,512GB,i7,11번가,616300,616300,616300,616300,616300,0.0,0.0,19,1,1,N,9,2026-06-18,2026-06-24,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9140157326&tid=1000000061
삼성전자|NT960XHA||16GB|1TB,59735715161,삼성 가성비 리퍼 노트북 갤럭시북5프로 16인치 NT960XHA 울트라5 16GB 1TB,삼성전자,16GB,1TB,,11번가,1990000,1990000,1990000,1990000,1990000,0.0,0.0,19,1,1,N,9,2026-06-19,2026-06-20,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9163049395&tid=1000000061
삼성전자|NT951XDB11|i5|16GB|1TB,91152200577,[리퍼] 삼성 갤럭시북 프로 NT951XDB 11세대 i5 램16G SSD1TB 윈11 울트라슬림 573550,삼성전자,16GB,1TB,i5,라이프하우스6,1143520,1143520,1143520,1143520,1143520,0.0,0.0,17,1,1,N,9,2026-06-18,2026-06-19,가격 관찰,https://smartstore.naver.com/main/products/13607690165
삼성전자|NT951XDB11|i7|16GB|512GB,59819582910,[리퍼] 삼성 갤럭시북 pro NT951XDB 11세대 i7 16G NVMe512G 윈11 실버 573548,삼성전자,16GB,512GB,i7,11번가,1169700,1169700,1169700,1169700,1169700,0.0,0.0,13,1,1,N,9,2026-06-24,2026-06-26,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308451885&tid=1000000061
LG전자|14ZB99510|i5|16GB|512GB,59819353830,[리퍼] LG 그램 노트북 14ZB995 10세대 i5 DDR4 16G NVME512G 윈 573438,LG전자,16GB,512GB,i5,11번가,968300,968300,968300,968300,968300,0.0,0.0,12,1,1,N,9,2026-06-20,2026-06-22,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9308490740&tid=1000000061
Apple|MACBOOKPRO|Apple M1|16GB|1TB,91099915338,Apple M1 칩 13.3인치 16GB RAM 1TB SSD 스페이스 그레이가 탑재된 Late 2020 MacBook Pro 리퍼제품,Apple,16GB,1TB,Apple M1,스마트아울렛1,1329440,1329440,1329440,1329440,1329440,0.0,0.0,10,1,1,N,9,2026-06-24,2026-06-26,가격 관찰,https://smartstore.naver.com/main/products/13555404971
LG전자|LGGRAMI71165G7가벼운16GBSSD1TB|i7|16GB|1TB,91175156047,LG Gram 노트북 i7-1165G7 가벼운 사무용 16GB SSD1TB 윈도우11,LG전자,16GB,1TB,i7,일체형pc  중고노트북,1059000,1059000,1059000,1059000,1059000,0.0,0.0,8,1,1,N,6,2026-06-20,2026-06-20,가격 관찰,https://smartstore.naver.com/main/products/13630645383
레노버|업그레이드레노버싱크패드T47014인치16G512GFHD윈1||16GB|512GB,60089593838,[업그레이드 리퍼] 레노버 싱크패드 T470 14인치 16G/512G FHD 윈10 508019,레노버,16GB,512GB,,11번가,557600,557600,557600,557600,557600,0.0,0.0,7,1,1,N,6,2026-06-22,2026-06-24,가격 관찰,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=9187838602&tid=1000000061
LG전자|15U48016GSSD512|i5|16GB|512GB,91121813923,LG 노트북 i5-8세대 15U480 16G SSD512G MX150 윈10,LG전자,16GB,512GB,i5,일체형pc  중고노트북,589000,589000,589000,589000,589000,0.0,0.0,7,1,1,N,6,2026-06-18,2026-06-18,가격 관찰,https://smartstore.naver.com/main/products/13577303512
LG전자|15U50NMX25010||16GB|512GB,91174085265,LG 노트북 10세대 15U50N MX250 10세대 16GB SSD512G WIN11,LG전자,16GB,512GB,,일체형pc  중고노트북,679000,679000,679000,679000,679000,0.0,0.0,7,1,1,N,6,2026-06-18,2026-06-18,가격 관찰,https://smartstore.naver.com/main/products/13629574656
삼성전자|NT931XDBI51135|i5|16GB|512GB,60516777900,삼성 갤럭시북 Pro NT931XDB (i5-1135G7 16GB S512GB Win11P) [리퍼상품],삼성전자,16GB,512GB,i5,GSSHOP,643000,643000,643000,643000,643000,0.0,0.0,5,1,1,N,6,2026-06-26,2026-06-26,가격 관찰,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1127474074&vodFlag=N&prdseqnum=1127474074&utm_source=price&utm_medium=affiliate&utm_campaign=naver
